post_text,stars
вышл замуж ребенок перв брак выходн уезж сидет дочк якоб мам сильн уст цел недел общ ребенк собир провест недел вмест дочк зач жен дур иск выходн отпуск пристрел,586
прошл поступ вуз хотел пришл пойт платн нелеп универ город сдал экз занов сдал ост арм когд прошел обследова хват нужн сегодн узн прошел конкурс бюджет крут поех платн клиник сдел хуж ос верн платн хоч ,1967
уех бабушк возвращ дом попрос встрет парен приезж отказа недолг попрос встрет мальчик соглас позж вообщ заб попрос трет ожид больш приезж вокза выхож вагон сто прошл ,-1406
люб мч сдел предложен поста дет жела сильн жела отц прож брак перв единств друг друг вмест куп квартир радост секс знал случ забеременет ребенк люб уб смог знал врод относ месяц принос случайн выясн заним секс мед месяц справк муж принес хотел ребенк помн мо отнош реш образ шок стольк довер аборт дел мог ненавиж муж существ внутр ужасн матер предательств муж смог прост,1549
лучш подруг поздн поп вуз пьянк ровесник подружк недел плев пар вызыв кром пот поп вуз поздн бол тепер больниц секс объясн умерет люб момент тепер подруг оправдыв умерет прошл езд больниц говор жалк жалост любов когд пар очередн предлаг дав завтр умерет лож звон зна говор видел парн показ правд умерет жалк жалк подруг люб скор женск пар правд умрет ум вмест ,1908
мам нач ухажив мужчин гост сиж мам плачет случ попыт спуст минут телефон бабушк разговор поня мужчин мам влюб мен получ  практическ семейн разговор зна дела правд повод дав мам наверняк  идиот,2770
подруг наз бо довер страшн полгод познак лучш подруг девушк обща друг друг знает вообщ рассказыв вопрос поч услыш ,856
завтр свадьб утр верхн губ врод мог помога глаз завтр свадьб целов сво целов родственник общ оп пристрел сдела,3867
вчер пар догн сзад попрос когд сердц перест отд сво мобильн дур новеньк ,2352
куп нов велосипед работ месяц куп зарплат месяц ед магазин навстреч идет парен влюбл знает реш ним обрат внима проех рук отпуст рул черт итог вел ноут сумк слом рук лиц тел цел вырв волос одежд плюс город шла спин сме встрет знак парен проход особ идет компан изображ едет велик хрен смешн ,2674
уех минут хочет дел приедет мо лучш подруг ошибк отпра вмест должн пожен  ненавиж,4236
встреч девушк х познак работ недавн пересп мо быстр дом прям спрос любл вмест предательств прощ сказ дня собр вещ уеха работ нашел зп дел недел прин обратн люб гол полугод периодическ туп говор сердц нож любл гордост мог мат отц сторон звон че прост дума общ дел зна ,3030
инет скайп понима встреч взаимн чувств месяц жив вмест утр ед ушел работ найт сдел предложен месяц турц дне смог кра дом недел жду посто протяж отнош дел цвет стар нов спит ноч бег котор люб нач гот рад дал повод уйт месяц врем жив отдельн родител пробл отдельн сегодн вечер звонок сильн звон причин прост тяжел легч сильн денег врем машин разв подожд дел ,3216
порв хож след температур вчер утр зуб лев лиц сложн дыш побеж врач потер созна час приход дел адск ход температур сложн врач отказ работ отпра дыш ,3424
жар асфальт греба сиж красн жирн тепер выйт улиц даж балкон сплю закр сплю плюс дом прорв ужасн вон ,3979
мог мен бес ладн эт здор ча сахар сиж улыб дур подел пыт сдел молч слюн люб ег безумн бес спальн заход бел муж жив вмест квартир куп средств сним хочет хоч став терпет сил ,677
приех друг сегодн след улож спат зап квартир твор ван угад загорел трус друг  трус пристрел дво,953
работ больниц доктор ост игр игр телефон виж пол кид маленьк вперед дума очередн пришл спрашив ответ душ включ свет смотр ног  стыдн,3282
уч трет курс работ получ втор высш английск изуч немецк возможн содерж ест одн полн размер камер мо участ звон бабушк начин доход вплот оста работ недел хоч оставл люб работ котор получ хоч обращ внима обидн близк тепер сиж дума жирн пристрел пристрел,2578
посл длительн перер завяз отнош днях поста зна бо потер ,-4833
ко вернул люб спуст ,1892
ид счастл работ сдал повыш метр увидел целов хот протяж знакомств эт  мо люб минимум служ полгод ,3327
студент уч весьм перв курс нач пис одн работ пис уч возможн получ бесплатн зна немецк английск  вчер зава экз немецк поп дожд понра грязн потер шанс выб препод,4090
знак попрос дост соглас дост негд недолг таблеток засып остальн полож кров заб вчер комнат должн стен соответств мам нашл килл ми плиз дур,1567
всяк оказыв пол зрен родител псих детьм родител говор врод страшн тет пристрел,3858
жен брат живет лен палец палец цел дням сид вечн днях выгн берем невестк дом тепер найт пристрел брат,2377
поех отпуск друг познак вечер секс ноч соглас сил оста вечер планиров спат нарисов хрен дума маленьк  вернул дом благополучн зна замуж зовет,2100
девочк красив люб начит сильн жесток девушк секс посто девушк момент глубок плева пересп влюбл уш ушел придум дурацк полтор спуст состоя пон дав любл любл люб ,2028
вчер пришл мат поссор недел пью зна поб сне поним дела мат единств близк друз подруг вмест произошл понима тепер хож кол умол прост безумн плох пон могл подн рук эт слов прос больн плох понима сдела есл случ прощ ,3753
сосед сверх потолок кухн веш балкон лиш маленьк ребенок начин игр месяц отвод дом гол гул холодн двер пуст квартир сосед оказ откр вчер родител ушл малыш оста квартир ноч слуш интересн мам мам мам ушл мам ид дом мам хоч квартир плох ,3818
зна мнен сем хоч адвокат уголовн мам хочет голов должн уч пап хочет счит брос учеб заним модельн бизнес кризис средн возраст никт бабушк дед пофиг принцип килл ми плиз,-2252
нормальн парен друз игр посл нач бол кол отпра порядк случ повер бол отпра друг врач диагноз бег проп  ход дне недел посл пол болет гол пошл идт итог бег прыг тольк сидет дом ,2269
сво встрет скаж полн ребенк рук работ квартир хрен врач денег лечен отказыв пришл мног когд врод нач жоп вкалыв час вмест поддержк предлож ост друз любл мелк жизн ,3424
мо жен утр дел нич серьезн тел недавн предлож отказа любл дав куп отказа небольш средн средн медл набир имеет достаточн обычн ежедневн собств поэт отказа хочет полтор час никак жен нрав сиж дума черт ,1264
познак полгод неудачн мо дня привел б люб друг друг берем выгн мат дом жит девиц закат мо ост ушл работ вечер дух сид некуд идт муж родител нрав снят квартир родн сказ больн ост ушл кин собр выкинул лестничн мастер смен лом ко развод вчер больн,4369
муж ребенк мальчик девочк работ поход единств работ причин начальств дочк школ бер врод детств нормальн понима дела ,1222
куп полож ящик заодн телефон карма подхож смотр ключ номер ящик номер откр охранник подхож охранник иск минут нашл прош вызв выход милиц телефон слов мальчик симпатичн защищ охранник номер магазин ящик  дур мальчик стыдн,2234
удочер мат мот срок душ люб родственник мо разруг муж ушел хотел ребенк нужн доч гот престижн лучш школ дорог тайн общ биологическ матер прям смысл залетел откр жел смерт пыт раз выста дом сил жив друг город одинок стар тетк одн работ оттуд скор родн видет хож сво больш дом одн болт  повер род,4038
уч недавн жив общаг весел инициат включ горяч вод дня узн весел летн вообщ месяц горяч вод пристрел гол похорон,1479
хорош фигур брос пар реш придум сест результат оказ противоположн проход зерк закрыв глаз хоч жит,3356
познак одн молод человек сын родител перв месяц отличн пот нач захотел дожд родител дач пришл пригот стол сел стол поня хоч туалет прост банальн след сдел дел вышл молод велел убир присл сем прин ход друг друг уб мо естеств  рассказ сво родител шок счит посто говор мо вел план отношен вид,2991
работ неч дела блин работ куч спат завтр работ неч дела выход шеф ,305
брат забр одн инициат скучн доч выросл хотел брат сестр муж изначальн поня уговор вообщ хотел настраив мо приемн мат стар попад плох проя эт мам погибл род внук уговор поедет ухажив слыш разговор эт последн получ возможн нормальн объясн мам отказа ждет приют ,3617
ид улиц узн мужик котор недолг работ вмест говор вежл пыт поддерж сред проч счастл замуж мужик намек напр нужн женщин интимн встреч плюс заодн уборк квартир пригот идеальн плат челюст пок цен подн прин стол предлож быстреньк убежа сиж дума виноват позвол дел подобн мужик гол пристрел,1485
живет клетк напис можн унитаз вполн вод хват дума пом вод благополучн отч ним отнош холодн туалет заход ко понятн заб сход туалет зовет показ унитаз вод идет спат пыт получ взял провод проход им момент рук унитаз ,2066
ест взросл родител врод нормальн мам дом стен гол эт ужасн работ след дом мо отц эт разговарив летн ребенк посто хочет пирсинг хочет нос мо одежд раньш гул запир двер дом иб говор  хоч обратн мам,2610
встрет мужчин необход люб любл мо идеа отличн друг друг должн отношен поп мотоцикл авар ним перел месяц больниц ещ месяц ход недавн выпис дом пож родител ухажива приех крепк сестр жит предста жизн хоч ним любл хоч дар поэт пристрел,3243
нач мо люб зарплат город привыкл жит студентк пуст мо говор конечн плат ост одн тянут двушк центр город кажд учеб деньг бер втор работ прав поэт цел экон денег езд учеб больш пропуст экз дор травм прав рук работ нормальн мог ост вообщ стипенд четверт ед копейк начальник вчер лучш друг предлож пересп ним,3757
коп итог накоп родител договор оплат друг покупк говор сынок отдав шутк денег  замечательн подарок рожден,1390
узн нужн операц смог слез рассказ сво мч котор завед ребенк нож мо люб гот хочет дет хоч ребенк идт иск,2449
попрос мч сход магазин принес отличн полгод вчер звонок мч задерж магазин охранник пачк мо будущ муж пол пот покуп стыдн ,2938
познак парн недел предлаг снят квартир ухож муж ищ квартир недавн поп авар леж больниц км брос леч деньг машин карма рубл город жен ребенк больниц сем собир котор увезл км город добр дом  повер,1580
мо минут муж назыв мо мам мам вчер поруг мам гост утр выход комнат вчер ушл люб общ собира мам ним свадьб придет любл обо смог ,1188
жил стран уч однажд работ устраив поех клуб законч поздн коллег предлож пойт отел след пойт работ вмест дво наоборот знал женат втор серьезн отношен дур хотел работ сраз ушл наход суд адвокат спрашив подробн рассказыв ужас абсолютн незнак люд процесс посад вернул родн стар заб отнош противоположн пол посто ужас недавн урод нашел социальн сет разруш пристрел заб дают заб,3915
люб парн люб уровн женск явн проявл мужчин счит собств друг обож мч рад абсолютн люб друг вышл последн прост друг преврат туп дел чит блог жен постел обед ужин рестор вод идеальн мужчин буквальн вчер куриц след пост отличн куп любв мужчин посл инач ноч правд секс назв пуст куриц хочет зовут мо родн проблем скаж брос нелюб рад получ сегодн утр сдел тест беремен беремен муж ,2432
пок мам пап бурн отмеч компа пьян мамин лучш подруг сдел тет приход гост дес ол больш проблем вскор перест нашл контакт тет дел узн истор род знал отец ол нач проблем обрат помощ знак устр больниц ол нужн помоч отказ хот требов сдел груб ол подростк возраст выдерж дик головн котор выброс окн сиж дум тетк эмоц могл пап полюб получа мерзк истор ,4125
спуск десятк рубл юност жил хлеб накоп нов выход нов игр выпад жизн долг правд законч институт сумел устр работ спуск жив квартир убир цен мо компьютер четверт,2711
девушк мест стол парен знает девственниц любл реш рассказ новост рассказыв изнасилов девушк мужик посад молод слуш кра девушк бед плох смог нормальн относ девушк девственниц нелюб гряз кошмар жизн испорч вообщ женщин глаз повер гол ,5209
рубл прож месяц приех друг сын вмест познак сем счет сем больш никт спасиб прожива стыдн стал дет  дур привыкл деньг,3673
прост сестр дво дет вечн денег позавчер пришл прос денег стиральн машин мо муж дал мам жалк стир детьм тяжел эт дур куп смогл муж психанул эт машинк деньг фотоаппарат счит деньг приход звон жал совет вернут фотоаппарат магазин нуж радост жизн радост чуж счет хорош деньг дал куп фотоаппарат хорош счет ненавиж сестр ,3721
преслед детств мен назыв мо сестр родител назыв друз назыв мобильник девушк препод назыв когд представл говор эт есл килл ми,4812
крас умн девушк компа друз люб помоч безумн весел одн подруг жутк втор вообщ трет замуж парн некотор чувств урод ид вмест крас друз котор пуст друз ,-4708
счит полн недел подряд спат ко сред нача дума сне лиц жен утр никак могл сдела чист рук сред продолж недел глад ужасн холодн рук рук страшн вер дом никт никак объясн родител говор бо пристрел,2762
коф мо спрашив,2736
встреч нач пробл здоров врач рожа слез рассказ нуж ребенок ид ищ отц гот ,2824
работ девочк дал работ абсолютн легк жутк уда случайн испуг  наор соверш друг девушк заста жутк стыдн,2160
встреч полтор молод бел ем выш см цел рост родител близк друз искр перв родн бабушк полюб мч родн оказыв заодн родител слыш вовс личн вечн говор нуж бабушк вечн жен ищет зара иск иск окн любл мальчик физическ чувств ор продолж ,1750
чуж дел страничк соцсет незнак люд смотр нек последн слеж девушк нашл понра бурн встреч деньг слеж хоч работ сиж минимум схож,2360
проснул утр свадьб подошл прям нос красн прыщ размер сдел могл пар час свадьб сме дяд вмест мо жен зуб тво нос получ отличн фотограф вид фотограф специальн стар прыщ пристрел,3357
понедельник расст парн котор встреч прост ровн мест никогд никак отнош друг друг утр звонок грустн голос расста трубк берет зп месяц ест предлож мест хорош зп невынос мерзк работ единств жив родственник попад инфаркт больниц компьютер мо денег лекарств мо сдел  рук опуст,4397
подруг умир умерл рук муж брос узн похорон люб поех пересп ним подруг одинак ненавиж ,2802
куп муж нов машин коробк дел выезж салон реш подружк должн каф ждат реш резк загорел зел свет сзад нач газ пол машин поворачив машин муж говор машин вышл правд пон нач стыдн ,-2438
сестр когд обож люб врод люб любл блин посто ненавист даж игр гот нач ор бес постоя угол издев  ребенк невин пристрел,1798
ех универ сзад сидел мамаш летн ребенк рук малыш посто грязн ног бел понра наверн обрат мамаш просьб воспитыв ребенк сист ребенк разреш сут посл сзад подошел парен старш наверн симпатичн рта прям лоб мамаш мен сист вышел след  дур вышл след ним найт,2949
муж тро дет старш младш сем стар зам дет видел сем ссор хорош отнош сем всяк вид нов плат банк младш попрос рожд компьютер компьютер жела посто ребенк компьютер пар месяц регулярн пропуск школ реш ним сто переход умерл мам собир деньг прокл  сын компьютер важн матер сем,1854
денег нет вообщ жив общаг мечт коп накоп маленьк ост деньг откр заб денег нет пришл идт прихож мин кошк сид банк кошк корм дня урон бутылк ,2992
мо мам выгляд можн дат сид тд дал мо друг ем прошел месяц пошл концерт ноч прихож дом дом обув друг открыв двер комнат тайн нач встреча шок друг ушел мам вернул запрет ним гул вообщ увидел вмест закат сканд выгн дом ,3881
забеременел узн родител насильн потащ аборт забр больниц прошл нач снит ребенок мальчик плачет тянет ко назыв мам перест спат ноч плач плач прост убийств собств ребенк реш подел мам сво ответ уб ребенк пристрел сдела,4046
пришел работ мечт отработ месяц взял рад заним люб привел друг помоч тепер дают работ мечт ост мыт посуд офис разбир  мечт близк друг прич,1810
врач скор помощ нескольк дне ребенк высок встреч отец ребенк муж внезапн проп полтор котор дал жив нов сем ребенок живет  официальн жен,3380
жизн люб поня жил будуч людьм дума уех москв питер прежн сем дочер порадов переж тяжел период полн остав работ говор серьезн заболел быв дни постел подн мог выясн мо люб бесплатн всегд должн чист важн ег соверш волн здоров подход зараз домашн работ магазин чут двер некуд идт  дух хвата,2584
минут дня ужасн болел живот просидел дом одн бол час ноч леж смотр фильм комнат пап глаз рубл быстр доч вод нескольк час конкретн пап включ холодн поп реш спуст прям ушел заб набр посуд ост гор закр пут час ноч больн кухн собир молодец пап ,509
развел жен дво старш ем захотел жит суд недавн брал игр телефон обнаруж десятк фотограф чувств психик дел случ зна ,2031
пошл свида выход машин итог слом ушиб тел порв плат испорч свидан больниц ,1229
вид обычн девушк слуш групп х знает устр нов работ музык рабоч комп легч игр надел больш наушник включ общ включ заб оказ чудесн музык офис поня слыш звук наушник музык игр утр вечер перер обед никт офис сдел замеча дружн вечер попрос директор подальш  дур,2215
переех собир сним квартир одн объявл девушк объявл попрос офис врод напр договор дума попрос оста размер половин бол отпра смотрет квартир врод мест ждет котор окончательн договор час перест отвеч поня последн лох деньг брос нелюб университет реш нач родител числ отец работа сем тянет стыдн обидн пристрел ,2357
кур дом выход улиц реш снял обратн куч утр просп работ проснул аж вечер друг косяк вид  кур последн,582
жив больш пом дет отличн мам любовник знают пап муч дает мам ход ум сход сложн верн мам пап обещ мам дел дом мам счит страшн пон муч сво уход любовник х месяц пон пап начин хочет счастл пон трудн пап получ план денег бух жестк ,2453
пошл мальчик свидан ид гол дум подъезд мо встреч бывш кид закрыв дав ноч друз мо бывш вал беж вслед орет вслед ид сюд убив потенциальн благополучн сход свидан  плиз,1141
нашл мч соцсет рассказыв сво друз бывш посто девушк месяц выл девушк спрос плох причин уйт мог относ прежд вряд получ гол ,1599
жив одн люб последн месяц гот состоя крайн съезд навест дум умерл мо пристрел дур ,1559
недавн месяц живет пар сестр ем работа толк кажд приход работ дост вечер начин либ говор сестр орет ладн гот вечер заним родител приезж дом  уст пуст мест,2105
вчер волос разн улиц утр проснул отпуск завтр работ бел пристрел идиот бег,-2189
вел мысл мер запис стан сексуальн сем отец сканда дом прят наход мам мо однажд потребов уех месяц возвращ мам стран смотрет пар дне ко подход младш сестр мам тво смотрет отдельн ост шок вер собств мам,3056
женск жив девушк сним квартир мечт конц конц реш попрос помощ родител ним просьб мо родител терпет разговарив сквоз зуб реш попыт поговор родител выслуш кам законч молч встал пар минут нерв вернул дадут нужн сумм конц конц девушк доч пуст ед выкладыв ситуац люб поним мам пап улыбк миллион старост  родител куп квартир мо сестр,2093
уех границ месяц уч курс иностр соседк комнат встат кроват гол больн говор пит тяжел нос заб поговор мам ответ виноват дур неч помога поддержк иск соседк одн леж дом ост хочет посмотрет ,1210
типичн ситуац парн друг забр сестр зла хорош аж бес поним ним эт лучш друг,1084
брат мо парн приезж гост посто пар дела работ работ посто обзыв толк зна брат хотел брат приеха парн дом порог туп собир вал завтр поговор мо питер вод дом рестора парн целов деньг фриланс заработ получ секс выд поссор мелоч прям брат вер жит хочет неприятн  плач,3189
посв игр тольк чувствов игр горазд бо хват слов опис чувств держ рук слуш чуж игр музык смысл мо нелеп несчастн случа травм рук мо пальц полност,4138
муж вмест дво маленьк дет муж любл безумн жизн представля даж дум хоч изм уйдет вчер вечер залезл телефон случайн хотел запис номер общ увидел сообщ подруг сем наверн дав любл скор тво инфаркт оч болел сердц бол дума муж зна отнош сто уйт муж смог сильн любл придет изменя доб идиотк пристрел,4272
