post_text,stars
мне жен дочк как вол паха работ зарабатыва отд отпуск и долгожда отпуск куп сем путевк турц отъезд покрыва характерн сып ветрянк как итог жен дочк отдыха турц сиж четырех душн стен маж зеленк ни пом искупа пмп,1565
однажд встрет улиц мил симпатичн девушк инвалидн коляск ног случайн разговор оказа неглуп интересн мы подруж ход навеща призна нрав ощуща эдак сочувств рыцар защитник сир убог и отец смущ оказыва влюб и попрос приход почащ мол плачет мест наход и приход всяк ощущ какойт страшн ловушк прост пропаст мог хорош нич заслуж единствен свет окн хот нормальн друж инвалид и продолжа сложн говор лов взгляд зна мог предлож е родител счита жених мог жен надежд глаз радост кмп выход виж,4392
умыкнул работ корпоративн карточкуп мелоч использова никт замет шел тучк мост увидел проплыва комет захотел сфотографирова мобильник подошел оград пок вытаскива телефон нагрудн карма потащ карточк стал выпада хотел пойма резк дернул рук итог iPhon выпа нев карточк успел пойма жалк телефон а карточк дела зна бо дума последств ран поздн вскроет сво круг знают последн забра покрысятнича могут вскрыт трат повес пмп,2591
вот любим жив вмест все жив родител счита ребенк кричат помыка дают обща друз кажд минут лом наш комнат мен вывод мечта жит ним отдельн услов огромн трехкомнатн квартир центр город интернет горяч вод тк дом стар но хочет ем родител удобн забот домохозяйк видет хочет я готов провест квартир интернет вод куп нов мебел горд отказыва жит ним мог вечер улыба родител ноч плач ушл жит вдво стро сво мир итог жив скор родител ним кмп,2873
дне жил предвкушен ужинакорон блюдоварен картошкабер рук хлипк врод кастрюл кипя водойчтоб слит воду вдругоб ручк отваливаются лет ошпарива ног такчт смотрет страшновс пройдетконечнонобольноблин пмп,2631
единствен правд люб услыша стольк противн а изз мам люб диктова писа кажд смске пмп,-979
хотел айфон коп трех зарплаткуп заб пакет метр кмп,2797
нрав парен хотел наста моментнача встречатьсявс хорошо друз мимолет говор макс ревнова никт застав сдела появ цельн дума провер ревнуетзнач люб думаладума реш отцовск дух пахнут встрет ним сид лавк начина целова цел ше секунд молчан ят дума спрос зап дух нача ора говор дума оказа обычн девк жмет ненавижу страда нача встреча поступа звон ну я и дуракилл ми плз,-500
застря огн раньш друж втро поссор я помир а знают обе обща когд разговарива телефон обсужда друг прич высмеива буквальн наоборот а поддакива бо рассказа сво двулич пмп погрязн лжи,-575
вышл замуж человек ребенок перв брак выходн уезжа сидет дочк якоб мам сильн уста цел недел общен ребенк собира провест недел санатор вмест дочк на компромисс соглаша зач жен дур иска занят выходн отпуск пристрел,586
в прошл поступ вуз хотел пришл пойт платн сам нелеп универ город в сдал экзам занов сдал оста арм откос плоскостоп отсрочк исчезнет когд прошел обследован немножк хват нужн категор сегодн узна прошел конкурс бюджет сам крут вуз поеха платн клиник сдела снимк стоп стал хуж недостаточн осен верн платн гно хоч повес кмп,1967
уеха бабушк возвращен дом попрос встрет парен так приезжа отказа недолг дум попрос встрет мальчик соглас позж вообщ заб попрос трет мальчикаон ожида чтот больш дружб ну приезжа вокза выхож вагон сто тро прошл кмп,-1406
я чайлдфр любим мч сдела предложен постав услов дет он погруст желан сильн желан отц и прож брак перв единствен друг друг вмест куп квартир объезд полмир дел радост горест в секс осторожн знал случ забеременет ребенк любим человек уб смог он знал врод относ пониман и месяц принос справк случайн выясн бесплод естествен острожн занима секс предосторожн медов месяц и залета как выясн справк муж принес липов он хотел ребенк помн мо отношен аборт реш так образ организова я шок стольк доверя аборт дела мог ненавиж муж существ внутр я ужасн матер и одинок тк предательств муж смог прост уб,1549
лучш подруг поздн попа вуз страда младш во пьянк узна одногрупник ровесник спьян переспа подружк недел плева парен вызыва отвращен проч знатн бабник пот стал известн попа вуз поздн бол онколог тепер больниц спонта секс обащаг объясн мог умерет люб момент тепер подруг оправдыва мог умерет прошл грешк он стал езд больниц навеща говор жалк жалост позиционир любов когд парен очередн предлага дава займ ат завтр мог умерет послушн лож постел а звон а зна говор я видел парн показа манипулятор но ошиба правд умерет мне жалк жалк подруг не увер любов скор знаменит женск жалостлив парен правд умрет ум сойдет вмест кмп,1908
мам нача ухажива мужчин гост сиж компьютер слыш мам плачет вруб подошл спрашива случ молчан рыдан попыта успокоитьотталкива спуст минут услыша телефон повидим бабушк разговор поня мужчин мам влюб мен получ кмп практическ разговарива вставля комментар семейн разговор зна дела правд повод дава никак мам наверняк возненавид кмп идиот умоля,2770
был подруг назов маш доверя боя довер сам страшн тайн знаеш никомуник скаж полгод познаком лучш подруг с девушк сблиз стал обща подкалыва друг друг и подколк выясня знает вообщ рассказыва маш на вопрос дела услыша пмп человек довер,856
завтр свадьб больш друзейродственник приглашеноиздалек числ утр просыпаюсьв верхн губ покрыт простуд герпес врод страшн болитговоритьест мог мазалан помога гнойныйоранжевыйсраз глаз броса тоналк замажеш как завтр свадьб целова сво жених целова родственник щек зараж общ оп полн пристрел меняпожалуйстапок сдела,3867
вчер парен догна сзад попрос телефончик когд увидел сердц екнул переста сообража отда сво мобильн улыбнувш позвон дур кто откажет новеньк нок кмп,2352
куп нов велосипед работа месяц куп тыщ зарплат тыщ месяц ед магазин покупочк навстреч идет парен влюбл об знает реш ним выпендр обрат вниман проеха рук отпуст рул черт слетел дорог итог вел полома восстановлен подлеж докупа придет ноут везл сумк слома капитальн мобил колен рук лиц тел цел разодра вырва клок волос одежд порва плюс город шла грязн шепта спин смея встрет знаком парен проход идет компан изобража едет велик пада пародист хрен смешн кмп,2674
он уеха дел чрез минут написа как поз хочет дела приедет вы подума жалова вот смска адресова ленусик мо лучш подруг ошибк отправ вмест должн пожен пмп ненавиж ленусик,4236
встреча девушк х познаком работ недавн узна переспа мо начальник ну сплетн быстр распространя я дом прям спрос был ну я любл всетак вмест так предательств прощ сказа да дня собра вещ выматыва уеха с работ увол нашел зп побольш дел через недел звон умоля приня обратн клял люб голов вскруж уж полугод периодическ бомбардир звонк я туп хер посыла говор сердц нож вставля любл гордост переступ мог и главн мат отц сторон звон ну че леш уступ прост ничерт дума в общ дела зна кмп,3030
инет скайп видеоразговор пониман сам встреч взаимн радост чувств через месяц жив вмест утр коф ед постел ушел работ найт перспективн сдела предложен два месяц турц дне смог поеха краснодарск кра дом недел а жду возвращен постоя протяжен отношен дела приятн цвет стар вянут нов сто спит ноч бег шоколад газировк котор люб сам нача готов рад и получа ни оскорблен удар дал повод уйт месяц времен жив отдельн родител вернул проблем отдельн жил сегодн вечер звонок люб да сильн я ухож раз люб отпуст не звон пиш конч причин финанс прост тяжел легч ты сильн люб да мня напряг денег времен машин разв подожда доб дел пмп мм,3216
порва связк ног хож костыл на след простуд кашел температур вчер утр разболел зуб разнесл лев лимфоузел опухл лиц ше стал сложн дыша побежа врач там вколол анастез потеря сознан час приход чувств дела срочн обезбалива адск бол ход костыл температур сложн врач отказа работа отправ областн дыша трудн пмп,3424
градусник жар неимоверн асфальт плав вот скаж цветет гребан харьков чтонибуд цветочк горшк подоконник пральн цветет а сиж распухш запл аллерг ал красн жирн тайваньск китаец ну именносейчас тепер ващ мог выйт улиц даж балкон и сплю закрыт форточк сплю плюс дом прорва канализац ужасн воня дерьм кмп,3979
я мог мен бес свекровьприч ладн сварлив стерв какаянибуд хорош эт здоров ухажива степен бес налива ча заварива кладет сахар размешива нос сиж улыба дур подела могуприч пыта чтот сдела обижаетс молч слюн любим вытира ег безумн бес бес суетлив действ он спальн заход спрашива может бел поменя а жестк №№ муж жив вмест квартир куп средств позволя снима хочет я хоч став выбор терпет сил назойлив мамаш пмп пристрел,677
приеха друг сегодн след племяшк улож спат чувству зап гар запища пожарк оббежа квартир подума экшн твор ван проводк угада загорел трус друг пмп производител трус предупрежда трус огнеопасн сейчас нервяк пристрел дво ущербн,953
работа больниц доктор оста дежурств темнот игра игр телефон виж ктот пол ползет кида маленьк мячик вперед ну дума очередн козел переп белочк пришл подхож спрашива солдатикгранат броса ответ докторв душ полз включа свет смотр пациент ног пмп стыдн,3282
мне уч трет курс журналистик уж работа телевиден получа втор высш переводчик английск язык изуча немецк дополнительн по возможн содерж ест одн я полн не катострофическ размер пропорциональн камер увеличива габарит так телевизион эфир мо участ звон бабушк начина промыва мозг толст доход вплот остав работ и эфир раз недел я хоч оставля любим работ котор получ год хоч обраща вниман оскорблен обидн близк унижа тепер эфир сиж дума наверн жирн экран каж пристрел пристрел бабушк,2578
посл длительн перерыв завяза отношен мчу хорошон днях постав брекетын зна потомучт бо потеря пмп,-4833
ко вернул любим спуст года пмп,1892
ид счастлив работ сдал аттестац повышен квалификац у метр увидел любим страстн целова какуют пышногруд блондинк протяжен наш знакомств утвержда переварива эт кмп мо любим минимум служ полгод арм кмп промах,3327
я студент уч коммерческ основеприч весьм недешев перв курс нача писа одн работ международн прав писа результатприглас уч швейцар возможн получ гранд бесплатн обучен зна язык немецк совершенствефранцузск английск разговорн уровн кмп вчер завал устн экзам немецк языкупот попа дожд экзаменатор понрав грязн обув уб потеря шанс выб изз придурк препод,4090
какт знаком попрос доста амфетамин соглас доста негде недолг дум надроб таблеток засыпа пакетикамипригод остальн дурост полож крова забыла вчер комнат должн перекрашива стен соответствен отодвига переставля мам нашл пакетик понадоб наркоманк барыг твар килл ми плиз дур,1567
всяк оказыва пол зрен родител псих детьм родител говор чад нечт врод заткнисьид ножкамивыбр как страшн тет теб заберет пристрел,3858
жен брат живет сам отъезд он ленив ужас палец палец удар цел дням сид компьютер вечн недовольн на днях выдержа выгна беремен невестк дом тепер мог найт пристрел а брат пристрел,2377
поеха отпуск египет солнц мор загар друг планирова от араб тошн на экскурс познаком инструктор подводн плаван полага вечер кафекальянпостел замеч секс потряса и ноч сна он дава отдохн высп соглас сил дел оста вечер планирова поужина спат нарисова мач хрен сотреш дума инструктор отдыха маленьк поуста пмп вернул дом благополучн залет зна когомач замуж зовет беб бебит инструкторт негр,2100
был девочк красив умн люб а а плеч привлекател внешн общител ум начита сильн обожж отношен жесток девушк объект секс постоя девушк момент глубок плева я переспа влюблен уш девочк ушел придума надума дурацк причин полтор спуст нетрезв состоян поня дава поко любл сам девочкубезумн любл а онаон люб но прост внуш меня кмп,2028
вчер пришл мат поссор фигн я недел пью успокоительн я зна послуж спусков крючк поб как сне понима дела мат единствен близк друз подруг мы вмест произошл понима тепер хож колен умоля прост мне безумн плох мог поня могл произойт подня рук эт я раз матерн слов угрожа прос прощен ссор он больн плох сердц я понима сдела есл случ прощ пмп огнемет так мраз,3753
изз сосед сверх гниет потолок кухн санузл веш простын балкон лиша скромненьк лучик солнц пещер их маленьк ребенок начина игра лошадк месяц отвод дом гол босик гуля холодн подъезд двер пуст квартир сосед оказа открыт настеж я терпел но вчер родител ушл тусовк малыш остав квартир спящ в ноч слуша интересн монолог балкон мам мамааа мам мам ушл магазииин мам ид дом мам хоч кака мамаа я уж всю квартир обосра люд плох пмп,3818
зна поступа мнен наш сем раздел хоч мвд переквалифицирова адвокат уголовн дел мам хочет франц вбил голов должн уч сорбон пап впринцип хочет поступа счита броса учеб занима модельн бизнес кризис средн возраст никт отменя бабушк мгу дед пофиг принцип килл ми плиз,-2252
мне нормальн парен все хорошомн друз общен сам занима баскетбол игра сборн стран посл тренеровок нача бол колен обе отправ врачусказа порядк случа переходн возрастен повер слов два бол отправ друг врач диагноз Osgood Schlatter нельз бега прига тоест пропа баскетбол кмп как перетерплинача ход плаван дне недел лет зим посл пол болет голов пошл врач диагнозгаймор нельз идт плаван итог нельз бега прыга плава тольк сидет дом задрот поган игр кмп,2269
сво встрет скаж полн жоп ребенк рук бывш работ недостач повес квартир долг какаят хрен найден врач требующ денег лечен миллионер какт справ отказыва пришл мног прода когд врод налад нача жоп вкалыва час вмест поддержк предлож оста друз любл мелк жизн бывш кмп,3424
мо жен утр дела зарядк нич серьезн гимнастическ упражнен поддержан тел тонус недавн предлож присоедин я отказа тк любл наклоныприседаниярастяжк он дава куп гантел кача я отказа небольш ремарк средн рост средн телосложен медлен набира мышечн масс поддержан то имеет достаточн обычн ежедневн нагрузок собствен поэт отказа хочет коряч полтор час поимет никак результат жен вздохнул жал нрав накачен мальчик а сиж дума вот черт пмп,1264
познаком парнемвстреча полгод залетелазащит подвеласвадьбапот неудачн паден выкидышженат полгодажив мо квартиредв дня привел какуют б сказалчт люб друг друг беремен негопоэт выгна мат дом жит девиц нам закат скандалсказа ска вымета мо домауговор оста ночьмолнекуд идтиутр ушл работ сказалачтоб вечер дух домаприхожуон сид чаек пьютсказаличт некуд идт муж родител одобр изменупоэт нрав присутствие мог снят гденибуд квартиру родн нетидт некудаладнон следден сказа больн оста домаэт ушл кино собра пожитк выкинул лестничн площадкузнаком мастер оперативн смен замкисейчас лом ко дверьугрожаютн развод вчер подалаесл честномн больн страшнопристрел,4369
муж хорош ребенк мальчик девочк работ хорош поход единствен опаздыва работ причин мультик смотр начальств объясн выходн дочк школ бер барб игра врод детств нормальн понима дела пмп,1222
супермаркет куп крем ну полож ящик крем заодн телефон ключ карман все куп подхож ящик смотр ключ номер ящик номер откр вылома слегк паник охранник подхож кассир охранник он позовет иска охранник минут нашл прош вызва администратор он выход милиц звал бл вызов ска телефон охел слов кассирш тут мальчик какойт симпатичн защища откудат подлета охранник номер магазин пятерочк ящик кмп дур перед мальчик стыдн снисходительн улыбнул ретирова,2234
удочер детдомовск е мат уголовниц воровк мота срок срок душ чая наташ люб родн родственник одобр мо решен разруга муж ушел бесплодн хотел ребенк нужн беспородн доч родн обожа готов престижн вуз лучш школ репетитор брендов одежд дорог косметиканедавн узна тайн обща биологическ матер науська наташ прям смысл обокра залетел какогот парняпостоя открыт жела смерт пыта натрав какихт бык а закрича раз сейчас выстав дом сил терпет жив друг город одинок стар тетк одн отдушин работ оттуд скор погон пенс родн видет жела так хож сво больш дом одн болта собак кмп повер осинк род апельсинк,4038
уч колледж с недавн жив общаг был весел традиц инициатив директор включа горяч вод дня задалбыва жутк узна весел традиц летн сезон отключа вообщ уж месяц горяч вод пристрел помойт голов похорон,1479
у хорош фигур брос парен реш чтот придума сест диет результат оказа противоположн проход зерка закрыва глаз отворачива стал огромн хоч жит так тел kill me pleas,3356
я познаком одн молод человек сын дурз родител перв месяц отличн прогулк муз цвет весн пот нача лет захотел близост вот дожда момент родител уедут дач пришл он приготов стол свеч шампанск цвет все сел стол поня хоч туалет прост подробн приключ банальн диаре нерв там след звук сдела дел вышл молод велел убира через присла письм позорн животн сем принят помаленьк ход друг друг разочарова уб мо поведен естествен видел а пмп рассказа сво родител шок счита свин постоя говор мо счита вел недостойн у план отношен вид кака писа сморка чиха досуг,2991
на работ неч дела завидн а блин работ куч спат изз нехватк а завтр работ неч дела но поспа выход шеф бдит кмп,305
мне брат с детдом забра одн пар инициатив усыновительницы скучн пенс доч выросл съехалаон хотел лешк тк маленьк брат сестр разлучат е муж изначальн восторг поня уговор он невзлюб вообщ хотел брат настраива мо приемн мат оговарива я стара попада глазапостоя плох ген прояв чуш мам погибл трагическ сконча алкогол у род внук уговор отказатьсяон поедет ухажива внук я слыша разговор эт лет последн семьеказа получ возможн нормальн будущ а объясн брат мам отказа и ждет приют кмп,3617
ид улиц ктот оклика узна мужик котор какт недолг работа вмест ти страшн атомн войн говор абсолютн вежлив пыта поддержа светск бесед сред проч упомина счастлив замуж мужик чемт намек вруба напрям заявля нужн женщин интимн встреч неделюдв плюс заодн уборк квартир приготов пожра кандидатур идеальн подход плат гдет бакс у челюст отвисл пок висел цен подня ти тут очуха глубочайш сожален мог приня стол лестн предложен быстреньк убежа вот сиж дума виноват ктот позволя дела подобн предложен мужик голов пристрел,1485
у живет крыс наполнител клетк использ прессован опилк ну гранул на упаковк написа смыва унитаз ну смыва вполн благополучн а вод бочк хват смыт ну дума пом клетк вод наберет смо и благополучн дел забыва отч ним маман отношен холодн войнапошел туалет ну ессессн заход ко ну понятн дел заб сход знач туалет смыл зовет показа унитаз вод кра и идет спат я пыта прочист ершик не получ взял провод проход изз опилок и имен момент перегора лампочк темнот подсвечив телефон рук прочища унитаз пмп PS прочист,2066
мне ест взросл родител врод нормальн но мам возомн девочк дом пробива стен голов мм эт воистин ужасн да работа след дом мо отц впорядк эт разговарива ти летн ребенк постоя передразнива копир раздража он хочет пирсинг хочет нос мо одежд раньш гуля запира двер дом иб мог говор пмп хоч обратн мам,2610
встрет мужчин вобра качеств необходим любим человек да недостатк любл так мо идеа все чудесн сказочн нираз руга отличн друг друг понима за должн отпразднова наш отношен попа мотоцикл авар с ним перел таз месяц больниц ещ месяц ход костыл недавн выписа дом реш пож родител ухажива а приеха чудесн хорош крепк любитн сестр как жит я мог представ жизн я хоч ним я любл хоч забот дар но поэт пристрел,3243
нача прух момент мо любим родим призва родин защища зарплат наш город немаленьк и привыкл жит хлеб маслиц сам студентк величин стипенд пуст мо повышен говор знает конечн работа плат гример вот оста одн тянут двушк центр город кажд учеб городэт разумеет деньг мы уныва я бер втор работ художник прав поэт цел эконом денег езд учеб стал байк любим опаздыва сильнопривет больш дерев пропуст экзам ремонтирова байк дор травм прав рук работа нормальн мог оста вообщ стипенд четверт ед денегн копейк начальник ярост а вчер лучш друг предлож переспа ним деньгикмп,3757
коп iPhon gb итог накоп половин родител договор днюх оплат друг половин так покупк говор сынок отдава шутк треб так денег пмп замечательн подарок рожден,1390
узна нужн операц смог детейв слез рассказа сво мч котор вместедума пожен завед ребенк нож мо любим гот хочет дет хоч ребенк мог идт иска сделаеткмп,2449
попрос мч сход магазин прокладк приболел принес отличн так полгод прошусход вчер звонок мч задержа магазин охранник пачк прокладок джинс мо будущ муж пол ворова прокладк поч пот покупа стыдн кмп,2938
познаком парн через недел предлага снят квартир ухож муж ищ квартир недавн узна попа авар леж больниц км броса леч деньг машин приезжа нетв карман рубл оказыва наш город жен ребенк больниц и сем собира уход всет исключен авар котор попа а увезл км город коекак добра дом кмп повер,1580
мо минут муж называ мо мам мам вчер поруга пух прах мам гост утр выход комнат вчер ушл ливен любим обща собира мам ним свадьб придет я меж огн любл обо вынест смог пмп добьют придут взаимопониман,1188
жил стран уч работа однажд работ устраива вечеринк поеха клуб законч поздн коллег предлож пойт отел переночива след пойт работ вмест то дво насторож наоборот успоко я знал женат втор серьезн отношен вообщ дур изнасилова хотел повес работ сраз ушл наход какомт транс суд адвокат вылива гряз спрашива мельчайш подробн рассказыва ужас абсолютн незнаком люд почемут процесс тянет посад вернул родн пенат стара заб истор отношен противоположн пол лад постоя всплыва ужас недавн урод нашел социальн сет разруш отвеч пристрел мог заб дают заб истор,3915
